"","ID","x","y","BIOME.Name"
"137",137,112.25,21.9166666666667,"Tropical & Subtropical Moist Broadleaf Forests"
"138",138,121.416666666667,-2.41666666666666,"Tropical & Subtropical Moist Broadleaf Forests"
"139",139,-45.75,-1.91666666666666,"Tropical & Subtropical Moist Broadleaf Forests"
"140",140,-77.75,1.25,"Tropical & Subtropical Moist Broadleaf Forests"
"141",141,-53.25,4.91666666666667,"Tropical & Subtropical Moist Broadleaf Forests"
"142",142,105.916666666667,27.4166666666667,"Tropical & Subtropical Moist Broadleaf Forests"
"143",143,112.416666666667,-0.0833333333333286,"Tropical & Subtropical Moist Broadleaf Forests"
"144",144,-59.4166666666667,-9.75,"Tropical & Subtropical Moist Broadleaf Forests"
"145",145,-74.5833333333333,-6.91666666666666,"Tropical & Subtropical Moist Broadleaf Forests"
"146",146,131.416666666667,-7.75,"Tropical & Subtropical Moist Broadleaf Forests"
"147",147,94.25,21.9166666666667,"Tropical & Subtropical Moist Broadleaf Forests"
"148",148,110.916666666667,29.75,"Tropical & Subtropical Moist Broadleaf Forests"
"149",149,99.9166666666666,20.9166666666667,"Tropical & Subtropical Moist Broadleaf Forests"
"150",150,24.9166666666667,2.91666666666667,"Tropical & Subtropical Moist Broadleaf Forests"
"151",151,138.916666666667,-6.58333333333333,"Tropical & Subtropical Moist Broadleaf Forests"
"152",152,148.916666666667,-9.91666666666666,"Tropical & Subtropical Moist Broadleaf Forests"
"153",153,35.4166666666667,8.25,"Tropical & Subtropical Moist Broadleaf Forests"
"154",154,-49.9166666666667,-0.75,"Tropical & Subtropical Moist Broadleaf Forests"
"155",155,98.75,23.25,"Tropical & Subtropical Moist Broadleaf Forests"
"156",156,-51.9166666666667,-0.25,"Tropical & Subtropical Moist Broadleaf Forests"
"157",157,-1.41666666666669,6.91666666666667,"Tropical & Subtropical Moist Broadleaf Forests"
"158",158,-57.25,-7.75,"Tropical & Subtropical Moist Broadleaf Forests"
"159",159,-6.75,6.08333333333334,"Tropical & Subtropical Moist Broadleaf Forests"
"160",160,38.0833333333333,-16.9166666666667,"Tropical & Subtropical Moist Broadleaf Forests"
"161",161,105.25,20.5833333333333,"Tropical & Subtropical Moist Broadleaf Forests"
"162",162,-5.58333333333334,5.91666666666667,"Tropical & Subtropical Moist Broadleaf Forests"
"163",163,-68.9166666666667,2.08333333333334,"Tropical & Subtropical Moist Broadleaf Forests"
"164",164,81.5833333333333,27.5833333333333,"Tropical & Subtropical Moist Broadleaf Forests"
"165",165,41.0833333333333,7.25,"Tropical & Subtropical Moist Broadleaf Forests"
"166",166,-7.41666666666669,7.41666666666667,"Tropical & Subtropical Moist Broadleaf Forests"
"167",167,28.75,-3.25,"Tropical & Subtropical Moist Broadleaf Forests"
"168",168,-90.4166666666667,18.75,"Tropical & Subtropical Moist Broadleaf Forests"
"169",169,-46.5833333333333,-1.91666666666666,"Tropical & Subtropical Moist Broadleaf Forests"
"170",170,-70.9166666666667,-11.0833333333333,"Tropical & Subtropical Moist Broadleaf Forests"
"171",171,79.4166666666666,22.0833333333333,"Tropical & Subtropical Moist Broadleaf Forests"
"172",172,81.5833333333333,21.5833333333333,"Tropical & Subtropical Moist Broadleaf Forests"
"173",173,79.5833333333333,18.75,"Tropical & Subtropical Moist Broadleaf Forests"
"174",174,100.416666666667,14.5833333333333,"Tropical & Subtropical Moist Broadleaf Forests"
"175",175,140.25,-4.91666666666666,"Tropical & Subtropical Moist Broadleaf Forests"
"176",176,99.4166666666666,24.25,"Tropical & Subtropical Moist Broadleaf Forests"
"177",177,138.25,-2.58333333333333,"Tropical & Subtropical Moist Broadleaf Forests"
"178",178,26.0833333333333,-1.91666666666666,"Tropical & Subtropical Moist Broadleaf Forests"
"179",179,112.75,-7.75,"Tropical & Subtropical Moist Broadleaf Forests"
"180",180,149.416666666667,-21.75,"Tropical & Subtropical Moist Broadleaf Forests"
"181",181,-82.9166666666667,9.75,"Tropical & Subtropical Moist Broadleaf Forests"
"182",182,113.916666666667,3.25,"Tropical & Subtropical Moist Broadleaf Forests"
"183",183,-69.25,-12.0833333333333,"Tropical & Subtropical Moist Broadleaf Forests"
"184",184,-58.9166666666667,2.25,"Tropical & Subtropical Moist Broadleaf Forests"
"185",185,-67.4166666666667,0.25,"Tropical & Subtropical Moist Broadleaf Forests"
